reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,app_Id
gp:AOqpTOHG85HKaVvDk0_SDZ_WPlm_pfOtPy5QHGqObMgJqdf9hyWqfYO2P2wn6EtdJzqOwwgrh2O5L5V1A1g60Q,A Google user,https://lh3.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"It's great and relaxing, it's fun",5.0,0.0,1.0.8,2018-09-25 15:13:32,,,com.activision.callofduty.shooter
gp:AOqpTOHakLubhY6E6HVcZXIYKkiBw1zc36Qb5zwWXCqDHGcJjg3duyYztsgy-bIzoGXxiPGiwFwGiKDhSgoccA,Lorenzo Lando,https://lh3.googleusercontent.com/a-/AOh14GjaQgbNKO0pn-Mq_PzropEJBPAWIf2XMx774vVnzg,"I used to love this game but it seems so broken now, on the trail i bought a box for 6 favours and i didnt get anything. Also, a red pine log was covering my view and i couldnt even grab it. Really needs improvements.",2.0,5.0,9199,2019-07-04 00:50:59,,,com.activision.callofduty.shooter
gp:AOqpTOE9lraHhlWldu8TxkQS8w12j3-O3pM6OFai1Boky4_kt_df7CS-rFi2U4Re-So_pqM0kd6RPNEtOWnLGA,Gustavo Adrián Lugo Gaitan,https://lh3.googleusercontent.com/-_a64S4-PUKc/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclM_qbIItdatE4WtH_flgzy-E6iEw/photo.jpg,"Great, but every time I played again i had to start from the beggining, thats the only issue, I even have some achievements, but beyond that, the game is really great.",4.0,0.0,9199,2019-03-06 02:24:20,,,com.activision.callofduty.shooter
gp:AOqpTOH7xpgH4noN9z6YXvTgGUJtpZhRoiHorEQVE0QZgrZNoIlH6NAHj8YOKKy6pgeHmwKsLzugsDy1J-PBAQ,Anna Perez,https://lh3.googleusercontent.com/-J5pl_v3VixY/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclgqHqQ1nStFm9jXeVtTzUgRi4sXw/photo.jpg,really good games thank you so much for everything you done for me it's really nice and comfortable for me are you always do it what is it doing great thank you,5.0,0.0,,2019-04-18 14:19:44,,,com.activision.callofduty.shooter
gp:AOqpTOGSZXsh4xxYNIX9Zm_rZ7eqmoRb3DhBOsuRpkEt_BCNs2886f19o6ZTvIn6GDqd1HMibKWfBp5btRIfcg,Clumzy Jaynee,https://lh3.googleusercontent.com/a-/AOh14GhN_yKYq6cxjbvOLdGJm-4ZMRT8F7P8nYgVVcXW,I love this game. I've played it before and recently redownloaded it. I love all the new improvements. I would give it 5 stars but it needs a new update for the bugs and crashes... But if you have the patience to wait out the crashes. Then it's a very relaxing fun game!,4.0,19.0,9199,2019-11-15 20:48:44,,,com.activision.callofduty.shooter
gp:AOqpTOF3g8xPMndEA_w5KrdkmX5diGEXyTIwixE3TWi1MCu3fUGZ_0yK8AlUogr9vmbKb_1hgLF4R6Y3N6FLVQ,Aiko Suzuki,https://lh3.googleusercontent.com/a-/AOh14GizculV_KF53E6TY481kchTFoPbm0XGp5EYflrhZA,When i launch the game all i got was a white screen. It was working fine today. I reinstall it and the issue still remains. By the time the white screen disappear a notifcation appear claiming that theres an error and the game began to work in the background. Which is weird.,3.0,8.0,,2019-08-30 02:12:13,,,com.activision.callofduty.shooter
gp:AOqpTOFGLskWTtp0qxSUOOhuQAxDGRPsz9YbWk9PzNs5JV2x8a8ONMfDqKzCTS1I9Yudt8rbMwqMQS1zZAu3mw,Nicole Mcconville,https://lh3.googleusercontent.com/-OpC_1diy02c/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuck-sn2V5jnlP-hGuTx54TCYYCU2DA/photo.jpg,My child loves its great for learning how to colour,5.0,0.0,1.1.0,2019-12-19 21:47:44,,,com.activision.callofduty.shooter
gp:AOqpTOFdVh05DeCPSoNy3j2oVEltBBqqFv56YvFBKo2ay7pLb1aHqJMosxn3wObJqS0_GE6GIMZC6gJBv7IzTw,Veronica Hubbard,https://lh3.googleusercontent.com/-g1VowM-fcgc/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclmdOAWiNC_PYHDkpT4c5YaltQCbg/photo.jpg,"This is a 1 star game at its best. Hey Kongregate, maybe try actually caring about your game! You say "" uhh hey, just contact customer support."" What customer support!!! It's not there, we send a message and hear absolutley NOTHING back. What a great way to run a business. I'm going to say this very loud and clear: YOU GUYS ARE PROBABLY THE WORST GAME DEVELOPERS OF ALL TIME, ACTUALLY TRY GIVING A S**T ABOUT SOMETHING! I don't understand why this is an editors choice, it absolutley sucks.",1.0,7.0,,2019-09-01 14:16:11,,,com.activision.callofduty.shooter
gp:AOqpTOEa6YMC9S-Trv5vsHzCk9mW2aTFNyeBJnom8ZJduENrhKh4IZ2Qrr6rY3leXTBSsAyE6Mv3dR0pyk5YPQ,alya fernandya,https://lh3.googleusercontent.com/a-/AOh14Gg7AguCO80RcHu44W_XqFXEPKaP3DXawh5xcvdA,"The graphic and the characters are great and enjoyable. The gameplay is good, but at some point the items are covered by the menu or buttons so it's kinda hard to click the items. The story is great, but the journey to the city and to build your home is kinda too long that it's bored me easily.",4.0,93.0,,2019-09-08 04:19:23,,,com.activision.callofduty.shooter
gp:AOqpTOE1C5rW955kcJyS9tqMXvuBff91cIduwwMhoMHIg6-48IkJMfamjfgTAGKYkTvIyMNq4IOwsU2mnOEg-Q,Claire Y,https://lh3.googleusercontent.com/a-/AOh14GgYl9xkN-9x_s1I80jCRJqmvtuoYjWEwZp5kH0rHQ,"Super addictive. However, I just upgraded to Android Pie and with the full screen app feature, the game is sort of zoomed in and numbers seem cut off (ex. Home upgrade requirements used to show '10/25' for example, but now it just shows '10/2' bc there is no space)",3.0,2.0,9199,2019-04-05 20:48:02,,,com.activision.callofduty.shooter
