reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,app_Id
gp:AOqpTOFq-uH2CqB2Gb7e143gh9--XZBqugoX0hB4Rp40tTLMhKSXJTwRK0o8AOSEQNkihPZcmPRI9Ah7EwdxJIw,Nell Jacobson,https://lh3.googleusercontent.com/-FHEBIBmjbo8/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckKgyBex35Xq0fw-Z_b6hRqvnHESA/photo.jpg,I can only recommend Super App for everyone who is singing.,5.0,0.0,5.2.11 (Quattro),2020-05-07 12:04:20,,,sixpack.sixpackabs.absworkout
gp:AOqpTOEFgfZ4wUYwp6TEkI-pu9tKU9r44X8FkBk8jaVCNsndDfB6ZgbVXhPkZbCo6z148pNbiCVrdtwY1zr01ps,Michael Bloink,https://lh3.googleusercontent.com/a-/AOh14GjyNXnHT9cf2sv7Cx3HrhZunPRIsB8KUdTho0AvbQ,Solid app for following the Stronglifts program. Haven't had any issues with it.,5.0,0.0,2.6.10,2019-01-07 02:40:24,,,sixpack.sixpackabs.absworkout
gp:AOqpTOGA4XwFznVBdNvErmND0NVQBZwn78OWFtgSs4tDEA1t3pspaDavPUISt6CBHoLSRDyQ_6fcOZbjCRjCKRg,Jeremiah Foley,https://lh3.googleusercontent.com/-SSpFontkZUg/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnG8W_K8pSMUIBeDxFcXLy2fFW7Fw/photo.jpg,Straight forward app. Enjoying having a place to store my weights,5.0,0.0,2.6.20,2020-01-29 02:24:02,,,sixpack.sixpackabs.absworkout
gp:AOqpTOFzVzXmpdtD7ksl7VAgyFXoTp22ks131v5dXec6HVSc8TMcxWHrY3XWjssgCvqfzOJb7NsdkN2a95iBdV4,Tess Matilda,https://lh3.googleusercontent.com/-UAi7aFCPbSo/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuck1E4hGhBav0oLeKk7fa3c2c_bFVQ/photo.jpg,I love this App! Downloaded it just for fun but it keeps it's promises! A lot of singles and nice people to chat with,5.0,0.0,5.2.11 (Quattro),2020-05-07 00:29:31,,,sixpack.sixpackabs.absworkout
gp:AOqpTOEB0RLrl6p0ylGQAfbb2bxoDBv7zQxGhcZJiHItpVWoNFHws4z_a2fLXtSppYxHJx0VlFnl_-3rPNWPzts,Olivia Camilla,https://lh3.googleusercontent.com/-iAxnGCho86E/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmKtdsIyTDYnYw5Dt_Eg8wikCp7Zw/photo.jpg,The app is great for meeting new nice people and experiencing great dates. The app is definitely recommended.,5.0,0.0,5.2.11 (Quattro),2020-05-15 21:29:24,,,sixpack.sixpackabs.absworkout
gp:AOqpTOFHQbTabH3lz8XVRi4tLYp-dtcZVoYXoSjKUDSWNdB-ENxyrMvS9imBZDLHIJ6oHcA2wrsAjAPjSrsbtRM,Mark Hastings,https://lh3.googleusercontent.com/-7BlXTpBLf4A/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuck2ULGYhxfEtS60uKrIT_tT7-ZHRw/photo.jpg,"Getting great result, well organized easy to follow",5.0,0.0,2.6.20,2020-02-02 05:24:29,,,sixpack.sixpackabs.absworkout
gp:AOqpTOFbtY2nG1dqSQfP5LH4_rWQ1zEQKK9b2LivpGEcz-05WVAlapWFeqAr0unY1Sv5EX1QfA0QujEkNQQ5wZE,Zutroy 999,https://lh3.googleusercontent.com/-J5un3gSHQcg/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucm999-FBg_ly12TafvJyl6RSEE7Kw/photo.jpg,"Simple app at least the free version, will see if it works! Using for a couple weeks pretty easy can tweak weights but of course gotta pay for more customisation, guess the developer needs to eat",4.0,0.0,2.6.17,2019-09-14 07:44:26,,,sixpack.sixpackabs.absworkout
gp:AOqpTOE04z8Ow25Q2E5B47uhxkaWwk53xwA4-AI9ZuTY0VWDFyL4lJoAf5nBrJdconHugM44o29JlNKsCl2xd6U,Justin Kilzer,https://lh3.googleusercontent.com/-miLQoNZIn0o/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmY6w6gXXbBXYOQ4aReSowFb4WPAQ/photo.jpg,"first program that i have ever been able to stick, the weights do increase quickly, but your body will adapt.",5.0,0.0,,2019-05-15 13:47:57,,,sixpack.sixpackabs.absworkout
gp:AOqpTOHcMescDY4Lm9ymsN4QwGaoBqdrRKDufpEilzEg0VSQ9J027DCjY4uvermvl_DH-uiH_XxsXo5D0mOZ23w,michelle millington,https://lh3.googleusercontent.com/-rFnyJ9xIl1Y/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclPJQmm_q7U2v8mQEJQ8QwXYZWF6A/photo.jpg,"Definitely keeps me aligned at the gym. Rest breaks monitored, remembering what to lift and how many sets done, best way to track ...",5.0,0.0,2.6.10,2019-01-12 14:10:51,,,sixpack.sixpackabs.absworkout
gp:AOqpTOExaRLc68tJTsaNf8iVTqkd2bHAEX0MQm47-kKXf3Z9LZ64K54nQ8g1q4dlNtSDsDQM-LO0e5bYMyx_31c,Dave L.,https://lh3.googleusercontent.com/a-/AOh14Gg61zhK6zDlSaezKnClx0hamS2aFE8fxT47lOwA,Very convenient and easy to use. I just add these 5x5 to my daily program. Works great.,5.0,0.0,2.6.8,2019-01-16 13:08:26,,,sixpack.sixpackabs.absworkout
